Date,Open,High,Low,Close,Volume
2023-01-02,137.78,156.21,125.59,137.21,2494875
2023-01-03,138.33,161.2,121.41,143.19,4952993
2023-01-04,141.69,167.89,125.09,139.94,2138963
2023-01-05,138.6,159.56,128.66,136.04,5996629
2023-01-06,146.67,164.62,124.98,135.17,9966788
2023-01-09,130.68,151.84,121.96,134.01,8278376
2023-01-10,131.04,155.93,122.45,135.48,1111265
2023-01-11,144.43,163.4,121.43,137.34,3980786
2023-01-12,143.95,165.11,125.19,140.36,9796647
2023-01-13,131.22,167.13,122.82,130.43,6119652
2023-01-16,137.05,160.49,129.46,148.79,3022629
2023-01-17,148.64,157.33,121.04,137.66,5688833
2023-01-18,132.96,168.85,120.25,133.53,1232049
2023-01-19,140.78,157.61,124.5,141.83,7006390
2023-01-20,135.02,169.7,122.3,148.85,1614662
2023-01-23,132.31,157.7,122.95,131.98,9804681
2023-01-24,147.2,166.84,126.3,149.97,7059667
2023-01-25,137.56,153.2,121.56,138.28,2277614
2023-01-26,139.39,169.0,124.41,131.78,6052618
2023-01-27,147.61,154.22,123.28,135.54,4224678
2023-01-30,138.0,162.88,121.12,132.94,9338638
2023-01-31,140.02,160.47,120.81,136.97,7537091
2023-02-01,137.32,155.78,129.94,140.93,8327344
2023-02-02,130.9,165.7,128.64,146.99,6668816
2023-02-03,131.4,152.93,129.83,139.12,7404885
2023-02-06,149.75,156.59,122.38,135.35,5547393
2023-02-07,136.25,161.38,129.78,139.83,7765158
2023-02-08,134.28,164.66,127.36,141.05,6164047
2023-02-09,146.15,165.57,125.76,132.75,7769676
2023-02-10,134.92,164.76,129.39,137.18,1947781
2023-02-13,142.84,159.74,120.25,146.38,2986777
2023-02-14,146.33,154.53,121.65,149.67,4657610
2023-02-15,135.2,153.79,129.53,143.64,6020193
2023-02-16,145.76,151.84,129.04,146.85,4117513
2023-02-17,131.44,158.82,125.24,149.09,6196377
2023-02-20,136.93,167.51,122.18,149.3,5175101
2023-02-21,149.87,150.07,128.36,140.43,8352642
2023-02-22,131.45,164.56,127.24,139.93,4674694
2023-02-23,143.26,150.24,126.31,137.01,8645933
2023-02-24,133.57,162.9,129.29,136.89,4218420
2023-02-27,135.22,150.91,124.67,145.0,7526970
2023-02-28,131.4,151.58,122.92,146.52,3624756
2023-03-01,138.43,155.17,123.64,145.02,3467337
2023-03-02,143.49,162.78,125.86,133.1,1931388
2023-03-03,143.79,161.56,122.84,148.89,2572860
2023-03-06,138.86,168.83,128.27,140.27,4477645
2023-03-07,134.86,167.51,122.1,139.49,3731936
2023-03-08,145.59,161.85,124.25,132.69,2433558
2023-03-09,132.65,161.44,126.78,149.12,8283107
2023-03-10,136.04,159.76,124.92,146.53,4818310
2023-03-13,130.93,155.44,125.67,147.13,3660663
2023-03-14,136.25,159.08,126.66,143.29,8517427
2023-03-15,139.83,163.4,125.14,145.58,7337826
2023-03-16,143.59,168.63,122.38,142.26,3615657
2023-03-17,147.35,162.8,123.39,144.11,7068577
2023-03-20,140.12,159.09,121.52,131.37,6972840
2023-03-21,132.89,155.46,128.93,131.84,1653880
2023-03-22,145.74,158.81,124.95,139.26,4952366
2023-03-23,138.14,155.53,128.54,145.51,4267028
2023-03-24,146.84,152.19,123.84,146.57,4346784
2023-03-27,147.26,165.65,128.54,137.74,1817888
2023-03-28,132.73,158.64,125.47,149.57,9375837
2023-03-29,143.6,156.57,122.41,149.78,3775505
2023-03-30,130.48,153.58,125.79,132.63,2416927
2023-03-31,131.5,151.66,128.1,137.94,1234300
2023-04-03,136.56,155.28,125.47,132.33,8007071
2023-04-04,147.89,166.0,125.92,145.06,7183848
2023-04-05,135.28,160.76,128.85,141.74,2449889
2023-04-06,136.89,156.64,125.17,136.51,6577883
2023-04-07,143.83,155.15,129.12,137.4,7956450
2023-04-10,133.11,163.28,129.21,137.81,7180535
2023-04-11,130.05,159.2,120.72,138.54,1775734
2023-04-12,143.81,164.09,121.33,134.3,8177642
2023-04-13,140.25,161.56,120.6,142.03,8759336
2023-04-14,149.84,155.29,124.53,138.06,2404596
2023-04-17,142.51,166.39,128.77,137.86,1033062
2023-04-18,139.65,159.29,128.24,145.71,1729271
2023-04-19,142.13,159.61,127.17,148.52,2255244
2023-04-20,144.28,162.3,127.65,141.57,5658042
2023-04-21,142.62,153.1,124.86,137.34,3343438
2023-04-24,140.43,156.09,126.51,138.86,6429843
